Control_of_Corruption,Poverty_Headcount_Ratio,Year,Voice_Accountability,Regulatory_Quality,Govt_Expenditure_perc_GDP,FDI_Inflows_perc_GDP,Rule_of_Law,Country,Government_Effectiveness,GDP_Growth_annual_perc,External_Debt_perc_GNI,Political_Stability,Risk_Category,Voice_Accountability_flag,Political_Stability_flag,Government_Effectiveness_flag,Regulatory_Quality_flag,Rule_of_Law_flag,Control_of_Corruption_flag,total_flags,corruption_risk,Year_numeric
2.35235905647278,0.1,2010,1.54195690155029,1.87385439872742,41.321624841298,-3.56794135328115,1.89844179153442,Denmark,2.10007047653198,1.58289703108802,,1.04096102714539,Low-Risk,0,0,0,0,0,0,0,0,2010
2.39288401603699,0.0,2011,1.55170702934265,1.89863109588623,41.3553765306718,3.93792637361731,1.91979134082794,Denmark,2.10107469558716,1.3108037609606,,1.10029304027557,Low-Risk,0,0,0,0,0,0,0,0,2011
2.3824622631073,0.0,2012,1.67411422729492,1.79916131496429,42.5735551510871,-5.00312031968255,1.87506687641144,Denmark,1.98699104785919,-0.00543230161670749,,0.914910674095154,Low-Risk,0,0,0,0,0,0,0,0,2012
2.39937782287598,0.3,2013,1.66623783111572,1.80028736591339,40.3069360551146,0.197410828523168,1.90228533744812,Denmark,1.94326293468475,1.39267343161971,,0.959233462810516,Low-Risk,0,0,0,0,0,0,0,0,2013
2.25215744972229,0.2,2014,1.5245566368103,1.6811044216156,39.8534795726126,1.86415567840611,2.10073828697205,Denmark,1.78492867946625,1.27799983192831,,0.951779723167419,Low-Risk,0,0,0,0,0,0,0,0,2014
2.18585419654846,0.2,2015,1.55306839942932,1.72294008731842,39.4680654843822,0.61075067778712,2.01513481140137,Denmark,1.79474246501923,2.10441456445301,,0.887059271335602,Low-Risk,0,0,0,0,0,0,0,0,2015
2.20300269126892,0.3,2016,1.54204452037811,1.56364238262177,37.3753237986279,2.49983169836595,1.88294720649719,Denmark,1.82117700576782,3.07304549209093,,0.852912425994873,Low-Risk,0,0,0,0,0,0,0,0,2016
2.190749168396,0.1,2017,1.51810312271118,1.61215782165527,36.281185472149,1.08780490285886,1.80426836013794,Denmark,1.74683058261871,3.05647723922718,,0.854937553405762,Low-Risk,0,0,0,0,0,0,0,0,2017
2.15699577331543,0.2,2018,1.57402217388153,1.62839412689209,36.1767651513151,2.46670057625106,1.77322614192963,Denmark,1.81060206890106,1.8600074900921,,0.931982338428497,Low-Risk,0,0,0,0,0,0,0,0,2018
2.12164855003357,0.3,2019,1.54343402385712,1.5476325750351,35.294411019505,-1.10067098319484,1.83337736129761,Denmark,1.87326776981354,1.71140093932736,,0.967598736286163,Low-Risk,0,0,0,0,0,0,0,0,2019
2.23648619651794,0.2,2020,1.5147852897644,1.78572452068329,38.7585745073268,0.36387453868222,1.80679368972778,Denmark,1.8400673866272,-1.78010601831291,,0.920233726501465,Low-Risk,0,0,0,0,0,0,0,0,2020
2.33337140083313,0.2,2021,1.5449755191803,1.79559290409088,36.2155316033098,4.1621434518547,1.89572131633759,Denmark,1.95973408222198,7.38206633449863,,0.928662657737732,Low-Risk,0,0,0,0,0,0,0,0,2021
2.40263819694519,0.2,2022,1.59125435352325,1.84312748908997,32.0184253924653,6.87340812577742,1.8995805978775,Denmark,1.9901350736618,1.54017307357893,,0.86891770362854,Low-Risk,0,0,0,0,0,0,0,0,2022
2.37605309486389,0.4,2023,1.66469931602478,1.83951985836029,33.1387313045139,2.19886894040596,1.90893590450287,Denmark,2.01564884185791,2.49518434516773,,0.850847959518433,Low-Risk,0,0,0,0,0,0,0,0,2023
1.76642882823944,0.0,2010,1.29778325557709,1.57068610191345,30.7473070189522,2.48078642393235,1.63750469684601,Germany,1.51569378376007,4.14676755040489,,0.796834468841553,Low-Risk,0,0,0,0,0,0,0,0,2010
1.74194991588593,0.0,2011,1.34921073913574,1.54886770248413,28.3049046331442,2.55005949502613,1.61821925640106,Germany,1.50013899803162,3.75796884487347,,0.842218458652496,Low-Risk,0,0,0,0,0,0,0,0,2011
1.81763017177582,0.0,2012,1.39373803138733,1.52908289432526,27.933530449439,1.8189263536368,1.66923201084137,Germany,1.53097581863403,0.47429132103845,,0.775621294975281,Low-Risk,0,0,0,0,0,0,0,0,2012
1.79800081253052,0.0,2013,1.40613043308258,1.54434037208557,27.9891744091962,1.76465787052263,1.64198386669159,Germany,1.51041460037231,0.386224592046474,,0.92798388004303,Low-Risk,0,0,0,0,0,0,0,0,2013
1.81229484081268,0.0,2014,1.43629622459412,1.69703912734985,27.5095890686293,0.437659919660914,1.85020470619202,Germany,1.6648246049881,2.16949889758517,,0.925186455249786,Low-Risk,0,0,0,0,0,0,0,0,2014
1.7758332490921,0.0,2015,1.42213714122772,1.71191465854645,27.4487709234683,1.82321441511707,1.75914001464844,Germany,1.65639758110046,1.65271978656361,,0.687514960765839,Low-Risk,0,0,0,0,0,0,0,0,2015
1.78129398822784,0.0,2016,1.3646674156189,1.8065539598465,27.3671431834324,1.64319555960592,1.58330154418945,Germany,1.66018795967102,2.29471066413561,,0.667541146278381,Low-Risk,0,0,0,0,0,0,0,0,2016
1.79697561264038,0.2,2017,1.43248081207275,1.77526342868805,27.5391986454965,2.89088052868023,1.5740704536438,Germany,1.61311173439026,2.71602454639843,,0.574381291866302,Low-Risk,0,0,0,0,0,0,0,0,2017
1.89839863777161,0.0,2018,1.44311714172363,1.75632679462433,27.3876244852279,4.00421026360441,1.59137535095215,Germany,1.52356374263763,1.11644310902427,,0.577865242958069,Low-Risk,0,0,0,0,0,0,0,0,2018
1.86510336399078,0.2,2019,1.35402822494507,1.71493887901306,27.899362920382,1.90698688059702,1.5813193321228,Germany,1.49534583091736,0.987893350164853,,0.548539876937866,Low-Risk,0,0,0,0,0,0,0,0,2019
1.82534158229828,0.2,2020,1.37390911579132,1.57793474197388,32.1608467019556,4.48666571074036,1.52012777328491,Germany,1.31368815898895,-4.09513751682526,,0.645049154758453,Low-Risk,0,0,0,0,0,0,0,0,2020
1.7829247713089,,2021,1.41956698894501,1.62516117095947,32.720769435816,2.93470785974787,1.5718047618866,Germany,1.28911292552948,3.6699998840452,,0.725788176059723,Low-Risk,0,0,0,0,0,0,0,0,2021
1.81836342811584,,2022,1.41448700428009,1.52229499816895,31.4551133705123,2.0947134896352,1.53199517726898,Germany,1.28929960727692,1.36973104612758,,0.628491878509521,Low-Risk,0,0,0,0,0,0,0,0,2022
1.66416621208191,,2023,1.46138572692871,1.45697498321533,,1.71109200964451,1.55120778083801,Germany,1.18541669845581,-0.266438401180253,,0.586989283561707,Low-Risk,0,0,0,0,0,0,0,0,2023
-0.463754564523697,,2010,0.443312972784042,-0.41047203540802,16.5051359514049,1.6350340943491,-0.0358108207583427,India,0.0316559858620167,8.49758470221235,17.520327243228,-1.27798449993134,Medium-Risk,1,1,1,1,1,1,6,1,2010
-0.540835857391357,27.1,2011,0.435818582773209,-0.363154947757721,14.4898394030493,2.0020634629993,-0.0862971395254135,India,0.0225540697574615,5.24131619937695,18.5055609944676,-1.32679533958435,Medium-Risk,1,1,1,1,1,1,6,1,2011
-0.513968110084534,,2012,0.399454206228256,-0.480885624885559,16.166712404362,1.31293453035323,-0.0628807470202446,India,-0.15608711540699,5.45638755166587,21.7351878662519,-1.28930985927582,Medium-Risk,1,1,1,1,1,1,6,1,2012
-0.517280995845795,,2013,0.432717055082321,-0.478094786405563,16.6386825486965,1.5162764665975,-0.0458925999701023,India,-0.157355144619942,6.38610640094825,23.3008757774803,-1.22917413711548,Medium-Risk,1,1,1,1,1,1,6,1,2013
-0.457605749368668,,2014,0.413222134113312,-0.47507643699646,14.803137644208,1.69565958990806,-0.0691893845796585,India,-0.222846582531929,7.41022760508854,22.7049198417658,-0.997911989688873,Medium-Risk,1,1,1,1,1,1,6,1,2014
-0.406574189662933,,2015,0.427862852811813,-0.4249567091465,15.1256903622794,2.09211521443253,-0.0707211047410965,India,0.0800815001130104,7.99625378571471,23.0297689509967,-0.954773545265198,Medium-Risk,1,1,1,1,1,1,6,1,2015
-0.337335646152496,,2016,0.441010862588882,-0.31153193116188,15.2719500252316,1.9373641224439,-0.0561538562178612,India,0.0613894164562225,8.25630550179086,20.0812235448632,-0.960426509380341,Medium-Risk,1,1,1,1,1,1,6,1,2016
-0.291900008916855,,2017,0.386967867612839,-0.256661295890808,15.6141099220983,1.50731583255894,-0.0297500882297754,India,0.0410966314375401,6.79538341897911,19.5049373712632,-0.774099111557007,Medium-Risk,1,1,1,1,1,1,6,1,2017
-0.229758977890015,,2018,0.360422104597092,-0.225996732711792,15.6631319151388,1.55821483801455,-0.00142208894249052,India,0.262917786836624,6.45385134497769,19.4905310721105,-0.997706770896912,Medium-Risk,1,1,1,1,1,1,6,1,2018
-0.30260244011879,,2019,0.268077671527863,-0.150565445423126,,1.78482633957161,-0.0672271549701691,India,0.130771830677986,3.87143694070356,19.9766366353145,-0.796846985816956,Medium-Risk,1,1,1,1,1,1,6,1,2019
-0.293598413467407,,2020,0.127332791686058,-0.128488674759865,,2.40620322673636,-0.0584247447550297,India,0.374532461166382,-5.77772470686801,21.4094740100862,-0.841419219970703,Medium-Risk,1,1,1,1,1,1,6,1,2020
-0.317147105932236,,2021,0.0905434712767601,-0.0908545926213264,,1.41217101040888,-0.108451806008816,India,0.249238416552544,9.68959249192875,19.5524130311129,-0.691076755523682,Medium-Risk,1,1,1,1,1,1,6,1,2021
-0.322223275899887,5.3,2022,0.0458774901926517,-0.0504464171826839,13.3335178491336,1.49248825904,0.113943412899971,India,0.369541674852371,7.60936497768895,18.6103165564092,-0.615027368068695,Medium-Risk,1,1,1,1,1,1,6,1,2022
-0.366014748811722,,2023,0.0944044888019562,-0.136969581246376,,0.771919134264091,0.188364565372467,India,0.47511014342308,9.19075493028345,18.398392023483,-0.635076940059662,Medium-Risk,1,1,1,1,1,1,6,1,2023
-1.3631272315979,,2010,-0.991843640804291,-1.02928555011749,,1.00796493975113,-1.70723676681519,Iraq,-1.1039627790451,6.40256484471193,,-2.23926711082458,High-Risk,1,1,1,1,1,1,6,1,2010
-1.25806474685669,,2011,-1.06950151920319,-1.00996208190918,,1.12086339764167,-1.55628681182861,Iraq,-1.07451224327087,7.546471200426,,-1.84698355197906,High-Risk,1,1,1,1,1,1,6,1,2011
-1.24822700023651,0.6,2012,-1.07618057727814,-1.14061653614044,,1.55961531280073,-1.57004082202911,Iraq,-1.05595529079437,13.9364301737537,,-1.93405020236969,High-Risk,1,1,1,1,1,1,6,1,2012
-1.31568956375122,,2013,-1.0572851896286,-1.12933826446533,,-0.995279210263068,-1.56443238258362,Iraq,-1.04929423332214,7.62828592298754,,-2.01139044761658,High-Risk,1,1,1,1,1,1,6,1,2013
-1.3636566400528,,2014,-1.14439046382904,-1.1338427066803,25.7090141553581,-4.45521124532956,-1.44884276390076,Iraq,-1.05569767951965,2.26368817563613,,-2.48033785820007,High-Risk,1,1,1,1,1,1,6,1,2014
-1.43320691585541,,2015,-1.12806236743927,-1.15169286727905,27.0309301531966,-4.54159235443502,-1.56235945224762,Iraq,-1.2022225856781,2.60676642939541,11.579236426757,-2.25077962875366,High-Risk,1,1,1,1,1,1,6,1,2015
-1.46216154098511,,2016,-1.01559019088745,-0.991360604763031,26.5600237455794,-3.75180911604806,-1.76788532733917,Iraq,-1.23010790348053,13.7873730187089,14.1382651565459,-2.30333304405212,High-Risk,1,1,1,1,1,1,6,1,2016
-1.43163061141968,,2017,-1.0472719669342,-1.11049020290375,25.9749833916221,-2.68799428357231,-1.75534462928772,Iraq,-1.22211647033691,-1.81975035118309,15.1161609151855,-2.29594969749451,High-Risk,1,1,1,1,1,1,6,1,2017
-1.45831036567688,,2018,-0.999539613723755,-1.06386315822601,24.4834204312244,-2.14854834807913,-1.80134296417236,Iraq,-1.26693630218506,2.63385099105624,12.3214408602116,-2.52111387252808,High-Risk,1,1,1,1,1,1,6,1,2018
-1.38982570171356,,2019,-0.964343070983887,-1.09659099578857,27.6121352770907,-1.31640616709339,-1.77203547954559,Iraq,-1.31078171730042,5.51379057542323,11.824461992369,-2.60927772521973,High-Risk,1,1,1,1,1,1,6,1,2019
-1.33377075195312,,2020,-1.00754952430725,-1.33956038951874,,-1.58049696252586,-1.79986429214478,Iraq,-1.30339181423187,-12.0367930931152,14.7022768430631,-2.47476959228516,High-Risk,1,1,1,1,1,1,6,1,2020
-1.26926839351654,,2021,-0.963369071483612,-1.12823390960693,,-1.25770209772783,-1.74884688854218,Iraq,-1.32009863853455,1.50218070952037,12.2155775212943,-2.38469409942627,High-Risk,1,1,1,1,1,1,6,1,2021
-1.21335303783417,,2022,-0.948578834533691,-1.18048512935638,,-0.726653366772653,-1.74994015693665,Iraq,-1.30276036262512,7.95904804992662,7.95463364666726,-2.40930914878845,High-Risk,1,1,1,1,1,1,6,1,2022
-1.32103753089905,0.5,2023,-0.958918929100037,-1.43832731246948,,-1.99474822313262,-1.69316685199738,Iraq,-1.38960635662079,0.517705525131191,8.07390544982739,-2.41309809684753,High-Risk,1,1,1,1,1,1,6,1,2023
