/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 11:41:32,792 - INFO - fetching articles for Brazil (2021-04-01 to 2021-06-30)
2025-11-16 11:41:33,759 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:35,763 - INFO - fetching articles for Brazil (2021-07-01 to 2021-09-30)
2025-11-16 11:41:36,633 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:38,641 - INFO - fetching articles for Brazil (2021-10-01 to 2021-12-31)
2025-11-16 11:41:40,221 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:42,229 - INFO - ✓ completed Brazil 2021
2025-11-16 11:41:42,229 - INFO - using gdelt api for Brazil 2022
2025-11-16 11:41:42,229 - INFO - fetching articles for Brazil (2022-01-01 to 2022-03-31)
2025-11-16 11:41:42,965 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:44,970 - INFO - fetching articles for Brazil (2022-04-01 to 2022-06-30)
2025-11-16 11:41:46,597 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:48,603 - INFO - fetching articles for Brazil (2022-07-01 to 2022-09-30)
2025-11-16 11:41:50,182 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:52,188 - INFO - fetching articles for Brazil (2022-10-01 to 2022-12-31)
2025-11-16 11:41:53,050 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:55,056 - INFO - ✓ completed Brazil 2022
2025-11-16 11:41:55,056 - INFO - using gdelt api for Brazil 2023
2025-11-16 11:41:55,056 - INFO - fetching articles for Brazil (2023-01-01 to 2023-03-31)
2025-11-16 11:41:56,278 - INFO - fetched 100 articles for Brazil
2025-11-16 11:41:58,284 - INFO - fetching articles for Brazil (2023-04-01 to 2023-06-30)
2025-11-16 11:41:59,440 - INFO - fetched 100 articles for Brazil
2025-11-16 11:42:01,445 - INFO - fetching articles for Brazil (2023-07-01 to 2023-09-30)
2025-11-16 11:42:02,411 - INFO - fetched 100 articles for Brazil
2025-11-16 11:42:04,416 - INFO - fetching articles for Brazil (2023-10-01 to 2023-12-31)
2025-11-16 11:42:05,716 - INFO - fetched 100 articles for Brazil
2025-11-16 11:42:07,726 - INFO - ✓ completed Brazil 2023
2025-11-16 11:42:07,726 - INFO - using gdelt api for Canada 2017
2025-11-16 11:42:07,726 - INFO - fetching articles for Canada (2017-01-01 to 2017-03-31)
