country,headline,url,date,snippet,year,month,window_start,window_end
Iraq,البرلمان يرد على المتحدث باسم القضاء بشأن افلات فاسدين عبر قانون العفو .. مجرد ادعاءات ! ,https://iraqakhbar.com/iraq-news/603277/%D8%A7%D9%84%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-%D9%8A%D8%B1%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%AB-%D8%A8%D8%A7%D8%B3%D9%85-%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D8%A8,20171206T151500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صدى البلد : رئيس هيئة النزاهة العراقي يغادر القاهرة بعد حضور مؤتمر مكافحة الفساد,http://www.elbalad.news/2970573,20171006T203000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,سليم الجبوري : مؤسسات الدولة العراقية تعاني من الفساد,https://www.eremnews.com/news/arab-world/1083912,20171126T120000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صوت العراق,https://www.sotaliraq.com/2017/12/04/%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%81%D9%82%D8%B7-%D9%85%D8%B7%D9%84%D9%88%D8%A8%D8%A9-%D9%84%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D8%AA%D9%87%D8%AF%D8%AF-%D8%A7%D9%84%D8%AF%D9%88%D9%84/,20171204T220000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,ألوان من الفساد الإداري تعمق معاناة العراقيين اليومية بقلم : فيصل عبدالحسن,http://www.alarab.co.uk/?id=124492,20171122T103000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صوت العراق,https://www.sotaliraq.com/2017/11/22/%D8%A3%D9%8A%D9%86-%D9%86%D8%AC%D8%AF-%D8%A7%D9%84%D9%86%D8%B2%D9%8A%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%AD%D8%B2%D8%A7%D8%A8-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D9%81%D9%8A%D8%A9-%D8%9F%D8%9F/,20171121T234500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,Армия Ирака практически полностью вытеснила курдские силы из Киркука —  акурс,http://racurs.ua/news-95593-armiya-iraka-prakticheski-polnostu-vytesnila-kurdskie-sily-iz-kirkuka,20171017T101500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,صحيفة التاخي,http://www.altaakhipress.com/viewart.php?art=115448,20171127T003000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,الفساد بين الحيتان الكبيرة والقروش الصغيرة,http://almadapaper.net/ar/news/539323/%D8%A7%D9%84%D9%81%D8%B3%D8%A7%D8%AF-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%AD%D9%8A%D8%AA%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D9%82%D8%B1,20171128T200000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,الفساد بين الحيتان الكبيرة والقروش الصغيرة,http://www.almadapaper.net/ar/news/539323/%D8%A7%D9%84%D9%81%D8%B3%D8%A7%D8%AF-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%AD%D9%8A%D8%AA%D8%A7%D9%86-%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1%D8%A9-%D9%88%D8%A7%D9%84%D9%82%D8%B1,20171128T201500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,Paradise Papers : Glencore hid link to ghost shipping fleet during Iran scandal,http://www.hellenicshippingnews.com/paradise-papers-glencore-hid-link-to-ghost-shipping-fleet-during-iran-scandal/,20171107T144500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,Paradise Papers : Glencore hid link to ghost shipping fleet during Iran scandal,http://www.afr.com/news/policy/tax/paradise-papers-glencore-hid-link-to-ghost-shipping-fleet-during-iran-scandal-20171104-gzf0sz,20171105T194500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,La Fiscalía de Portugal acusa de 31 delitos de corrupción al ex primer ministro Sócrates,http://www.farodevigo.es/mundo/2017/10/12/fiscalia-portugal-acusa-31-delitos/1765763.html,20171012T050000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq, .: Middle East Online :::. ,http://www.middle-east-online.com/english/?id=86195,20171130T111500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq, .: Middle East Online :::. ,http://www.middle-east-online.com/english/?id=85800,20171107T100000Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
Iraq,"Into 4th week of FIFA trial , prosecutors near end of case",http://www.570news.com/2017/12/04/into-4th-week-of-fifa-trial-prosecutors-near-end-of-case/,20171204T084500Z,,2017,1,2017-01-01T00:00:00,2017-12-31T23:59:59
