/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:18:17,025 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:20,036 - INFO - ✓ completed Brazil 2018 (1200 articles)
2025-11-16 13:18:20,036 - INFO - using gdelt api for Brazil 2019
2025-11-16 13:18:20,036 - INFO - fetching articles for Brazil (2019-01-01 to 2019-03-31) [attempt 1/3]
2025-11-16 13:18:20,695 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:23,702 - INFO - fetching articles for Brazil (2019-04-01 to 2019-06-30) [attempt 1/3]
2025-11-16 13:18:24,844 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:27,852 - INFO - fetching articles for Brazil (2019-07-01 to 2019-09-30) [attempt 1/3]
2025-11-16 13:18:29,194 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:32,203 - INFO - fetching articles for Brazil (2019-10-01 to 2019-12-31) [attempt 1/3]
2025-11-16 13:18:32,872 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:35,885 - INFO - ✓ completed Brazil 2019 (1200 articles)
2025-11-16 13:18:35,886 - INFO - using gdelt api for Brazil 2020
2025-11-16 13:18:35,886 - INFO - fetching articles for Brazil (2020-01-01 to 2020-03-31) [attempt 1/3]
2025-11-16 13:18:36,533 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:39,541 - INFO - fetching articles for Brazil (2020-04-01 to 2020-06-30) [attempt 1/3]
2025-11-16 13:18:40,784 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:43,791 - INFO - fetching articles for Brazil (2020-07-01 to 2020-09-30) [attempt 1/3]
2025-11-16 13:18:44,768 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:47,772 - INFO - fetching articles for Brazil (2020-10-01 to 2020-12-31) [attempt 1/3]
2025-11-16 13:18:49,084 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:52,090 - INFO - ✓ completed Brazil 2020 (1200 articles)
2025-11-16 13:18:52,091 - INFO - using gdelt api for Brazil 2021
2025-11-16 13:18:52,091 - INFO - fetching articles for Brazil (2021-01-01 to 2021-03-31) [attempt 1/3]
2025-11-16 13:18:52,861 - INFO - fetched 100 articles for Brazil
2025-11-16 13:18:55,867 - INFO - fetching articles for Brazil (2021-04-01 to 2021-06-30) [attempt 1/3]
2025-11-16 13:18:56,994 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:00,000 - INFO - fetching articles for Brazil (2021-07-01 to 2021-09-30) [attempt 1/3]
2025-11-16 13:19:00,820 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:03,828 - INFO - fetching articles for Brazil (2021-10-01 to 2021-12-31) [attempt 1/3]
2025-11-16 13:19:04,768 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:07,802 - INFO - ✓ completed Brazil 2021 (1200 articles)
2025-11-16 13:19:07,802 - INFO - using gdelt api for Brazil 2022
2025-11-16 13:19:07,802 - INFO - fetching articles for Brazil (2022-01-01 to 2022-03-31) [attempt 1/3]
2025-11-16 13:19:08,413 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:11,421 - INFO - fetching articles for Brazil (2022-04-01 to 2022-06-30) [attempt 1/3]
2025-11-16 13:19:12,147 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:15,151 - INFO - fetching articles for Brazil (2022-07-01 to 2022-09-30) [attempt 1/3]
2025-11-16 13:19:16,276 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:19,285 - INFO - fetching articles for Brazil (2022-10-01 to 2022-12-31) [attempt 1/3]
2025-11-16 13:19:20,517 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:23,525 - INFO - ✓ completed Brazil 2022 (1200 articles)
2025-11-16 13:19:23,525 - INFO - using gdelt api for Brazil 2023
2025-11-16 13:19:23,526 - INFO - fetching articles for Brazil (2023-01-01 to 2023-03-31) [attempt 1/3]
2025-11-16 13:19:24,611 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:27,618 - INFO - fetching articles for Brazil (2023-04-01 to 2023-06-30) [attempt 1/3]
2025-11-16 13:19:28,453 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:31,459 - INFO - fetching articles for Brazil (2023-07-01 to 2023-09-30) [attempt 1/3]
2025-11-16 13:19:32,302 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:35,309 - INFO - fetching articles for Brazil (2023-10-01 to 2023-12-31) [attempt 1/3]
2025-11-16 13:19:36,225 - INFO - fetched 100 articles for Brazil
2025-11-16 13:19:39,233 - INFO - ✓ completed Brazil 2023 (1200 articles)
2025-11-16 13:19:39,233 - INFO - using gdelt api for Canada 2017
2025-11-16 13:19:39,233 - INFO - fetching articles for Canada (2017-01-01 to 2017-03-31) [attempt 1/3]
2025-11-16 13:19:40,139 - INFO - fetched 100 articles for Canada
2025-11-16 13:19:43,142 - INFO - fetching articles for Canada (2017-04-01 to 2017-06-30) [attempt 1/3]
